Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
48078807,11/05/2020 08:56:42 AM,11/05/2020 08:56:42 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10026,MORNINGSIDE PARK,MORNINGSIDE PARK,WEST  116 STREET,WEST  117 STREET,WEST  116 STREET,WEST  117 STREET,,NEW YORK,MORNINGSIDE PARK,,Closed,,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,11/05/2020 08:56:21 AM,09 MANHATTAN,1018500001,MANHATTAN,"995,756","232,847",ONLINE,Morningside Park,MANHATTAN,,,,,,,,40.80577962325473,-73.95843821630783,"(40.80577962325473, -73.95843821630783)"
48083260,11/06/2020 09:04:31 PM,11/06/2020 09:07:30 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11368,FLUSHING MEADOWS CORONA PARK,FLUSHING MEADOWS CORONA PARK,52 AVENUE,53 AVENUE,52 AVENUE,53 AVENUE,,CORONA,FLUSHING MEADOWS CORONA PARK,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/06/2020 09:05:21 PM,81 QUEENS,4020180001,QUEENS,"1,027,989","209,784",UNKNOWN,Flushing Meadows Corona Park,QUEENS,,,,,,,,40.742377064999275,-73.84215697754966,"(40.742377064999275, -73.84215697754966)"
48093684,11/07/2020 03:52:16 PM,11/07/2020 04:01:54 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,11367,141-33 UNION TURNPIKE,UNION TURNPIKE,141 STREET,MAIN STREET,141 STREET,MAIN STREET,,FLUSHING,UNION TURNPIKE,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,11/07/2020 04:01:41 PM,08 QUEENS,4066330001,QUEENS,"1,034,592","200,707",PHONE,Unspecified,QUEENS,,,,,,,,40.71742785147343,-73.81839638906845,"(40.71742785147343, -73.81839638906845)"
48129724,11/11/2020 11:25:16 AM,11/11/2020 12:59:28 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,11/11/2020 12:58:52 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48254271,11/26/2020 05:15:23 PM,11/26/2020 10:53:16 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11365,67-10 FRESH MEADOW LANE,FRESH MEADOW LANE,67 AVENUE,68 AVENUE,67 AVENUE,68 AVENUE,,FRESH MEADOWS,FRESH MEADOW LANE,,Closed,,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,11/26/2020 10:53:09 PM,08 QUEENS,4069270022,QUEENS,"1,041,170","206,881",ONLINE,Fresh Meadows Playground,QUEENS,,,,,,,,40.7343340576824,-73.79461478923923,"(40.7343340576824, -73.79461478923923)"
48255616,11/26/2020 11:05:57 AM,11/26/2020 11:21:54 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10306,30 NATICK STREET,NATICK STREET,MAPLEWOOD AVENUE,WILDER AVENUE,MAPLEWOOD AVENUE,WILDER AVENUE,,STATEN ISLAND,NATICK STREET,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,11/26/2020 11:21:53 AM,03 STATEN ISLAND,5043730001,STATEN ISLAND,"947,402","147,403",ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.571186553293884,-74.13263432417509,"(40.571186553293884, -74.13263432417509)"
48147512,11/13/2020 08:08:42 PM,11/13/2020 09:51:53 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11215,3 STREET,3 STREET,3 STREET,4 AVENUE,3 STREET,4 AVENUE,,,,,Closed,,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,11/14/2020 02:51:56 AM,06 BROOKLYN,,BROOKLYN,"988,217","184,824",PHONE,Unspecified,BROOKLYN,,,,,,,,40.673975048259635,-73.98569878753527,"(40.673975048259635, -73.98569878753527)"
48150139,11/14/2020 01:43:59 PM,11/14/2020 03:31:27 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/14/2020 03:30:55 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48162855,11/15/2020 02:03:40 PM,11/15/2020 02:25:35 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11223,2099 MC DONALD AVENUE,MC DONALD AVENUE,AVENUE S,AVENUE T,AVENUE S,AVENUE T,,BROOKLYN,MCDONALD AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 07:25:37 PM,15 BROOKLYN,3071040017,BROOKLYN,"991,846","158,287",PHONE,McDonald Playground,BROOKLYN,,,,,,,,40.60113428219098,-73.97264595485817,"(40.60113428219098, -73.97264595485817)"
48258019,11/26/2020 03:10:46 PM,11/27/2020 09:40:47 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10033,2350 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST  176 STREET,WEST  177 STREET,WEST  176 STREET,WEST  177 STREET,,NEW YORK,AMSTERDAM AVENUE,,Closed,,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,11/27/2020 09:39:22 AM,12 MANHATTAN,1021320047,MANHATTAN,"1,002,812","247,274",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.845365615566806,-73.93291074494378,"(40.845365615566806, -73.93291074494378)"
48263789,11/27/2020 01:46:46 PM,11/27/2020 03:00:55 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11235,BRIGHTON BEACH AVENUE,BRIGHTON BEACH AVENUE,BRIGHTON BEACH AVENUE,OCEAN PARKWAY,BRIGHTON BEACH AVENUE,OCEAN PARKWAY,,,,,Closed,,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,11/27/2020 03:00:40 PM,13 BROOKLYN,,BROOKLYN,"992,992","149,241",PHONE,Unspecified,BROOKLYN,,,,,,,,40.5763037636128,-73.96853078385236,"(40.5763037636128, -73.96853078385236)"
48264728,11/27/2020 12:51:11 PM,11/27/2020 01:22:36 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11229,1301 AVENUE S,AVENUE S,EAST   13 STREET,EAST   14 STREET,EAST   13 STREET,EAST   14 STREET,,BROOKLYN,AVENUE S,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/27/2020 01:21:39 PM,15 BROOKLYN,3068190053,BROOKLYN,"995,635","159,076",ONLINE,Kelly Park Playground,BROOKLYN,,,,,,,,40.603295869003645,-73.95900001409144,"(40.603295869003645, -73.95900001409144)"
48266433,11/27/2020 04:35:30 PM,11/27/2020 07:27:16 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/27/2020 07:25:24 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48268176,11/27/2020 01:07:35 PM,11/27/2020 01:45:18 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11101,5-32 49 AVENUE,49 AVENUE,5 STREET,TERRI MONA ADAMS WAY,5 STREET,TERRI MONA ADAMS WAY,,LONG ISLAND CITY,49 AVENUE,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/27/2020 01:45:14 PM,02 QUEENS,4000320039,QUEENS,"996,485","210,263",ONLINE,Andrews Grove,QUEENS,,,,,,,,40.743791499346976,-73.95584605463277,"(40.743791499346976, -73.95584605463277)"
48268233,11/27/2020 01:43:07 PM,11/27/2020 05:09:08 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/27/2020 05:09:03 PM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48269111,11/27/2020 06:58:01 PM,11/27/2020 07:43:25 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10301,1321 VICTORY BOULEVARD,VICTORY BOULEVARD,LABAU AVENUE,RENWICK AVENUE,LABAU AVENUE,RENWICK AVENUE,,STATEN ISLAND,VICTORY BOULEVARD,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/27/2020 07:42:46 PM,01 STATEN ISLAND,5003190001,STATEN ISLAND,"954,402","163,341",ONLINE,Clove Lakes Park,STATEN ISLAND,,,,,,,,40.614959457981996,-74.10750827109864,"(40.614959457981996, -74.10750827109864)"
48269120,11/27/2020 03:09:27 PM,11/27/2020 03:47:30 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10302,133 JEWETT AVENUE,JEWETT AVENUE,BOND STREET,CASTLETON AVENUE,BOND STREET,CASTLETON AVENUE,,STATEN ISLAND,JEWETT AVENUE,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/27/2020 03:46:44 PM,01 STATEN ISLAND,5001940001,STATEN ISLAND,"948,362","170,238",PHONE,Levy Playground,STATEN ISLAND,,,,,,,,40.63386785225775,-74.12930013589079,"(40.63386785225775, -74.12930013589079)"
48269131,11/27/2020 10:53:05 AM,11/27/2020 11:24:36 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11694,ROCKAWAY BEACH,ROCKAWAY BEACH,BEACH  138 STREET,BEACH  139 STREET,BEACH  138 STREET,BEACH  139 STREET,,FAR ROCKAWAY,ROCKAWAY BEACH,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/27/2020 11:24:20 AM,14 QUEENS,4162860101,QUEENS,"1,024,706","147,274",ONLINE,Rockaway Beach,QUEENS,,,,,,,,40.57081674495128,-73.85437947966363,"(40.57081674495128, -73.85437947966363)"
48269132,11/27/2020 10:43:59 AM,11/27/2020 11:56:53 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11373,82-02 BROADWAY,BROADWAY,82 STREET,BRITTON AVENUE,82 STREET,BRITTON AVENUE,,ELMHURST,BROADWAY,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/27/2020 11:56:18 AM,04 QUEENS,4015340001,QUEENS,"1,016,744","209,932",ONLINE,Moore Homestead Playground,QUEENS,,,,,,,,40.74283175419591,-73.88273657534144,"(40.74283175419591, -73.88273657534144)"
48269133,11/27/2020 03:07:46 PM,11/27/2020 03:39:51 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11370,84-11 30 AVENUE,30 AVENUE,84 STREET,85 STREET,84 STREET,85 STREET,,EAST ELMHURST,30 AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/27/2020 03:39:29 PM,03 QUEENS,4013580001,QUEENS,"1,016,293","216,712",ONLINE,Gorman Playground,QUEENS,,,,,,,,40.76144276705305,-73.88433182126218,"(40.76144276705305, -73.88433182126218)"
48270567,11/29/2020 12:25:00 AM,11/29/2020 02:26:40 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11379,71-01 JUNIPER BLVD SOUTH,JUNIPER BLVD SOUTH,71 STREET,72 STREET,71 STREET,72 STREET,,MIDDLE VILLAGE,JUNIPER BOULEVARD SOUTH,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/29/2020 02:26:33 AM,05 QUEENS,4029600002,QUEENS,"1,016,375","200,734",ONLINE,Juniper Valley Park,QUEENS,,,,,,,,40.717586865277504,-73.88411212421667,"(40.717586865277504, -73.88411212421667)"
48276061,11/28/2020 02:10:06 PM,11/28/2020 02:26:06 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11235,HOMECREST PLAYGROUND,HOMECREST PLAYGROUND,WILLIAMS COURT,SHORE PARKWAY,WILLIAMS COURT,SHORE PARKWAY,,BROOKLYN,HOMECREST PLAYGROUND,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/28/2020 02:26:05 PM,15 BROOKLYN,3074560025,BROOKLYN,"996,094","152,857",PHONE,Homecrest Playground,BROOKLYN,,,,,,,,40.58622536595292,-73.95735795280737,"(40.58622536595292, -73.95735795280737)"
48278112,11/29/2020 11:38:05 AM,11/30/2020 08:54:42 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11215,364 5 AVENUE,5 AVENUE,4 STREET,5 STREET,4 STREET,5 STREET,,BROOKLYN,5 AVENUE,,Closed,,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,11/30/2020 08:54:42 AM,06 BROOKLYN,3009810111,BROOKLYN,"988,626","183,990",ONLINE,Washington Park (Brooklyn),BROOKLYN,,,,,,,,40.67168571272935,-73.98422486572024,"(40.67168571272935, -73.98422486572024)"
48287262,11/30/2020 10:28:53 AM,11/30/2020 02:57:01 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11213,195 BROOKLYN AVENUE,BROOKLYN AVENUE,PROSPECT PLACE,PARK PLACE,PROSPECT PLACE,PARK PLACE,,BROOKLYN,BROOKLYN AVENUE,,Closed,,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",11/30/2020 02:57:01 PM,08 BROOKLYN,3012360001,BROOKLYN,"999,616","184,566",PHONE,Brower Park,BROOKLYN,,,,,,,,40.673254449413164,-73.94460547766559,"(40.673254449413164, -73.94460547766559)"
48145172,11/14/2020 01:11:06 AM,11/14/2020 03:03:51 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10003,69 EAST   17 STREET,EAST   17 STREET,BROADWAY,PARK AVENUE SOUTH,BROADWAY,PARK AVENUE SOUTH,,NEW YORK,EAST   17 STREET,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/14/2020 08:03:53 AM,05 MANHATTAN,1008450002,MANHATTAN,"987,125","207,726",ONLINE,Union Square Park,MANHATTAN,,,,,,,,40.736836061247594,-73.98962571830423,"(40.736836061247594, -73.98962571830423)"
48149258,11/14/2020 12:04:30 PM,11/14/2020 01:11:04 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11377,60 STREET,60 STREET,60 STREET,QUEENS BOULEVARD,60 STREET,QUEENS BOULEVARD,,,,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/14/2020 06:11:08 PM,02 QUEENS,,QUEENS,"1,010,689","209,447",PHONE,Big Bush Playground,QUEENS,,,,,,,,40.741520725926634,-73.90458957453846,"(40.741520725926634, -73.90458957453846)"
48149936,11/14/2020 07:27:28 PM,11/14/2020 10:03:14 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10459,BILL RAINEY PARK,BILL RAINEY PARK,ROGERS PLACE,INTERVALE AVENUE,ROGERS PLACE,INTERVALE AVENUE,,BRONX,RAINEY PARK,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/15/2020 03:03:18 AM,02 BRONX,2027020001,BRONX,"1,012,696","237,723",ONLINE,Bill Rainey Park,BRONX,,,,,,,,40.81912457577889,-73.89722720242055,"(40.81912457577889, -73.89722720242055)"
48150698,11/14/2020 01:13:54 PM,11/14/2020 01:24:39 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10002,130 MADISON STREET,MADISON STREET,MARKET STREET,MECHANICS ALLEY,MARKET STREET,MECHANICS ALLEY,,NEW YORK,MADISON STREET,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,11/14/2020 06:24:42 PM,03 MANHATTAN,1002740036,MANHATTAN,"985,959","198,803",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.712344893225875,-73.99383543201044,"(40.712344893225875, -73.99383543201044)"
48150943,11/14/2020 11:53:59 AM,11/14/2020 12:11:44 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10001,294 10 AVENUE,10 AVENUE,WEST   27 DRIVE,WEST   28 STREET,WEST   27 DRIVE,WEST   28 STREET,,NEW YORK,10 AVENUE,,Closed,,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,11/14/2020 05:11:47 PM,04 MANHATTAN,1007240100,MANHATTAN,"983,625","212,630",ONLINE,Chelsea Park,MANHATTAN,,,,,,,,40.750296761372525,-74.00225573432823,"(40.750296761372525, -74.00225573432823)"
48151435,11/14/2020 03:32:45 PM,11/14/2020 03:37:52 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,10026,MORNINGSIDE PARK,MORNINGSIDE PARK,WEST  116 STREET,WEST  117 STREET,WEST  116 STREET,WEST  117 STREET,,NEW YORK,MORNINGSIDE PARK,,Closed,,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,11/14/2020 08:37:54 PM,09 MANHATTAN,1018500001,MANHATTAN,"995,756","232,847",ONLINE,Morningside Park,MANHATTAN,,,,,,,,40.80577962325473,-73.95843821630783,"(40.80577962325473, -73.95843821630783)"
48154069,11/14/2020 11:30:48 PM,11/15/2020 01:10:53 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11385,396 GRANDVIEW AVENUE,GRANDVIEW AVENUE,AMORY COURT,STANHOPE STREET,AMORY COURT,STANHOPE STREET,,RIDGEWOOD,GRANDVIEW AVENUE,,Closed,,The condition was determined to be an emergency issue and NYPD was notified.,11/15/2020 06:10:57 AM,05 QUEENS,4033780107,QUEENS,"1,009,183","198,367",ONLINE,Grover Cleveland Playground,QUEENS,,,,,,,,40.711113211345086,-73.91006532448145,"(40.711113211345086, -73.91006532448145)"
48154665,11/14/2020 08:34:04 AM,11/14/2020 09:55:49 AM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Park,11231,375 COURT STREET,COURT STREET,CARROLL STREET,1 PLACE,CARROLL STREET,1 PLACE,,BROOKLYN,COURT STREET,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/14/2020 02:55:53 PM,06 BROOKLYN,3004490001,BROOKLYN,"985,159","187,249",PHONE,Carroll Park,BROOKLYN,,,,,,,,40.68063196762491,-73.99672268723114,"(40.68063196762491, -73.99672268723114)"
48154984,11/14/2020 02:26:21 PM,11/14/2020 04:05:37 PM,DPR,Department of Parks and Recreation,Violation of Park Rules,Social Distancing,Street/Curbside,11208,1250 SUTTER AVENUE,SUTTER AVENUE,DOSCHER STREET,EUCLID AVENUE,DOSCHER STREET,EUCLID AVENUE,,BROOKLYN,SUTTER AVENUE,,Closed,,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,11/14/2020 09:05:39 PM,05 BROOKLYN,3042920061,BROOKLYN,"1,019,753","184,404",PHONE,Unspecified,BROOKLYN,,,,,,,,40.672751941343435,-73.87201239897126,"(40.672751941343435, -73.87201239897126)"
